,Comments,Comment ID,Reply Count,Like Count,Updated At,Viewer Rating
81,"Thanks for putting out these videos to share your experiences and knowledge on a sensitive subject.    When I was young, there was nowhere to turn for this kind of information.    That lack of knowledge just left me confused and scared.    Your videos and the other information now available on the net have enabled me to accept that I am transgender and empowered me to start HRT.   Your words are positively impacting a lot of people.   Thanks",Ugzyv6r9zgDZKj79BQJ4AaABAg,0,5,2019-08-22T03:31:32Z,none
82,"Kisses from Venezuela. Im gender fluid but and needed this visibility. My country is at war and poverty so I hope to escape from here and be myself. Thank you, you are a warrior.",Ugy0VvhOPS1o8rxUxkd4AaABAg,0,1,2019-08-21T21:29:09Z,none
83,Great video Riley very informative 😀,UgzDAuN4rVu2I7t4DwN4AaABAg,0,1,2019-08-21T13:58:34Z,none
84,Wonderful video. Thank you! 💛💜🖤,UgwChzLN5L9XnoYHSPd4AaABAg,0,3,2019-08-21T13:43:28Z,none
85,ELMO SAYS NO TO TRANSGENDER RIGHTS,UgzNWjaihCp2yfggG-t4AaABAg,1,15,2019-08-21T10:34:08Z,none
86,<3 thanks for making this! i wish a video similar to this came out around the time i was coming out to my family. very useful!,UgzknRkoiOGgIcQ3hSh4AaABAg,0,8,2019-08-20T23:58:55Z,none
87,💖💖💖,UgxwCN-ITEMLKYwYQf94AaABAg,0,1,2019-08-20T20:46:55Z,none
88,Good video 😄,UgzkArcsWodFQI91BvZ4AaABAg,0,3,2019-08-20T16:17:49Z,none
89,This one is defective.... 😂😂😂😂😂,Ugwg1SReHtGz6E-3xX14AaABAg,0,18,2019-08-20T07:51:48Z,none
90,Riley is such a wholesome person ❤️,UgyRSOTeMqoOM8Vte214AaABAg,0,11,2019-08-20T05:35:54Z,none
91,the razors are blue for boys,UgwAXEMDwt3eS1moOoN4AaABAg,2,10,2019-08-20T00:05:55Z,none
92,Thank you so much for this video! I am a trans non binary person who does not experience body disphoria. I love how you talk about being trans and shed light on controversial issues. Thank you for validating my existence and others.,UgwwTCWKQ38_PbsrVTZ4AaABAg,0,15,2019-08-19T23:17:42Z,none
93,"I have a trans friend who lists gender options as Male, female, both, or neither (regardless of what those people were assigned at birth). And I feel like that's about the simplest way to explain gender identities for cisgender people who have no clue.",UgyZ7uwfMfMWB419FsB4AaABAg,0,0,2019-08-19T15:45:44Z,none
94,"why should only men and women be referred to as their gender but not nonbinary people? ""person"" isn't my gender. if binaries are referred to by their gender i want thesaurus rights for me?",Ugy4wL5oogR5A5ukE2N4AaABAg,0,0,2019-08-19T15:32:00Z,none
95,I now have a person transition in my life. I have a question if you would be so kind to answer for me...,UgznACcvYoBx5HJonEV4AaABAg,0,2,2019-08-19T14:56:50Z,none
96,"For gender neutral substitute for ""sir"" or ""ma'am,"" I hope ""comrade"" makes a comeback.",UgxlHR02_CZclfTxUgl4AaABAg,1,7,2019-08-19T12:25:08Z,none
97,"Not sure if I missed this point in the video, but if anyone could help, I would really appreciate it! My ex has publicly come out as trans, changed their name and identifies trans masculine(to my knowledge, we are not in contact so all this is from FB and common friends). But during our relationship, I called them my girlfriend. Now, when I talk about this relationship and my experience within it(in therapy, with friends who bring it up, relatives etc), I am not sure how refer to them. Obviously I use the correct pronouns(they/them) and real name(correcting friends who use their dead name) but this term ‘girlfriend’ still slips out as for during most of the relationship I viewed them as a woman and we were a ‘lesbian couple’ and therefore I am not sure how to replace it. I don’t want to say boyfriend because as someone who dates multiple genders it just doesn’t feel right(doesn’t honour my sexual fluidity and experiences) and terms like partner seem too serious for the nature of our relationship. Of course mostly I just use the term ex, but especially when I tend to talk about my own sexuality and experiences the term girlfriend is easiest to determine the nature of this specific relationship. To clear up, they did begin questioning and partly transitioning at the end of our relationship and then my ex still preferred me calling them by the term ‘girlfriend’.

Not sure if that made any sense, but I appreciate any help as I want to learn how to be a better ally and, regardless of our differences, respect my ex and their gender.

Thank you!",UgznBBxkZUnz33zHDyh4AaABAg,0,0,2019-08-19T09:03:16Z,none
98,Thank you for this video! I'm adding it to my list of videos to share if someone wants to learn more about being transgender.,Ugz2iKZJhNmeYcZt1i54AaABAg,0,6,2019-08-19T06:58:22Z,none
99,Honestly your hair is way to straight and you're way to white for me to give a shit about what you have to say.,UgxR9_OdPIHOPjenYtR4AaABAg,1,1,2019-08-19T06:12:45Z,none
100,"I love this video! Im a trans male who Is half closeted (out to some people but not to others) and your channel is a large inspiration! New subscriber! UwU

Ps: about the whole name thing, It literally took me seven MONTHS to find a name I was happy with xD i was slightly jealous of my other trans friends bc they picked so easily and I was there like ""I don't have a name plz do not refer to me in any way shape or form"" lol great video by the way! ♡★☆",UgxHfKHoCo3CRSuMZx54AaABAg,0,0,2019-08-19T03:21:47Z,none
101,Love your videos,Ugx8EcbvVYOREoM6yjl4AaABAg,0,3,2019-08-19T01:20:51Z,none
102,"On names: I've seen a lot of the older trans people (like me) change to something either close to their name, or with the same initials, along those lines. For instance, I know I Maureen who is now Mor, a Brian Laurence who is Brenda Lauren. With me, Christopher changed to Christyanne allows me to still use Chris, a name that I'm used to, and I'm too old and crotchety to get used to a new one. I changed my middle name far away from its old one, though, and the second part of my first gets close to what I would have called myself if I'd changed younger: Anna.",Ugz7JV5sFzwTkzIDgZB4AaABAg,0,22,2019-08-19T00:49:48Z,none
103,Your long neck is gorgeous,UgwjpAaKbxNWrQBHpvJ4AaABAg,0,8,2019-08-19T00:49:47Z,none
104,"Well said Riley, I love you're videos ❤️💛💚🙂",Ugy1ozgkZdgovRdFBsx4AaABAg,0,4,2019-08-18T23:17:14Z,none
105,love u,UgwRTZ3Q7GIe33UhYLx4AaABAg,2,7,2019-08-18T23:03:03Z,none
106,"Just want to point people to behindthename.com  for finding names :D It's a great resource for writing, and I figure it'd awesome for trans people that want to choose their name. :3  <3",Ugz3K_Ude8cJZ_otQpZ4AaABAg,0,32,2019-08-18T22:29:39Z,none
107,"Honest question: is it OK if my Trans Woman Hero has a *phallic weapon* ...? 
   
(You know, like a Sword..or a Spear..or a Gun, etc)",Ugz8NqHnUj8UNGzwQlh4AaABAg,8,3,2019-08-18T22:27:56Z,none
108,Thank you for this. My girlfriend is trans and I'm always trying to learn more about how to support and affirm her,UgxFMEG95YfIZhixKH94AaABAg,3,64,2019-08-18T21:24:47Z,none
109,"I think Contrapoints has talked in a few of her videos about being trans without experiencing body dysphoria. 

Which makes me really not understand the people who accuse her of being a trans medicalist- of course she knows what it’s like to be trans without dysphoria- she’s talked about it pretty extensively. She’s said that she transitioned because she knew she would be happier, because she wasn’t happy with her gender. And while there were some elements of dysphoria (she’s also talked about realising that if she didn’t transition, she’d have to grow old as a gender that didn’t fit, and that was extremely uncomfortable for her), she’s also said that she doesn’t have specific dysphoria relating to her body. 

I would recommend her videos as well, though it’s important to understand she often engages in dialectic argument through characters, neither of which necessarily reflect her view. And she often delves into the philosophy of things, which doesn’t always reflect the reality of many trans folk. It’s still an interesting way to get some more viewpoints though.",UgwFiN8QKYuRls1AAY94AaABAg,1,4,2019-08-18T21:11:02Z,none
110,"This was so helpful, thank you!",UgzkxKhPc9FTpXcZkwJ4AaABAg,1,5,2019-08-18T20:49:17Z,none
111,I love you Riley ❤️,UgyJc7SUmPK8_4wPSuZ4AaABAg,0,6,2019-08-18T20:49:10Z,none
112,Great questions and great answers.,UgxtU0Kq9ARSni3X5X14AaABAg,0,3,2019-08-18T20:22:20Z,none
113,*T H E  R A I C H U*,Ugwnus8spAuzpEzd5Ix4AaABAg,2,51,2019-08-18T19:31:58Z,none
114,"Preach Riley!  The gatekeeping and the no you're not trans enough are more than disheartening to me, they're toxic af. And don't get me started on Terf lesbians not wanting us at 'their' pride events... ❤️❤️",Ugy40zre277WWSSDAxJ4AaABAg,0,16,2019-08-18T19:20:22Z,none
115,♥️♥️♥️,Ugy1W_MqySI757Ju1Nt4AaABAg,0,6,2019-08-18T18:30:53Z,none
116,Thank you Riley!!!,Ugzm-_93E_h91BAhIRd4AaABAg,1,9,2019-08-18T18:23:48Z,none
117,Very informative..good to see you again.🌈🦄,UgzRRNcrwD6sahQoa2h4AaABAg,0,0,2019-08-18T18:23:01Z,none
118,"Thank you for describing non-binary. As someone who identifies as non-binary it’s nice to have some who isn’t non-binary explaining it and talking about it. Also the issue of dead-naming/pronouns is very important to trans people. I don’t feel like I was born in the wrong body (this doesn’t mean I don’t have some physical dysphoria, it just means I don’t find my body to be “wrong”), so thank you for talking about that also.",UgwlNIkir0RFWuJ-Yrx4AaABAg,0,4,2019-08-18T18:24:36Z,none
